address,housing_type,region,city,sqr_meter,nr_rooms,rent_month,final_price,sold_date,price_increase,price_sqr_m,land_area,other_srq,latitude,longitude
Måns bryntessonsgatan 23 B,Lägenhet,Gamlestaden,Göteborgs kommun,51.0,2.0,3795.0,1850000,2022-08-31,-2.0,36275.0,0.0,0.0,57.7340986,12.0081667
Beryllgatan 17,Lägenhet,Norra Tynnered,Göteborgs kommun,80.1,3.0,5161.0,2525000,2022-08-31,-3.0,31523.0,0.0,0.0,57.6573819,11.8886007
Salviaterrassen 3,Radhus,Angered,Göteborgs kommun,128.0,5.0,,3615000,2022-08-31,1.0,28242.0,245.2,0.0,57.79993445,12.031729347522122
Astris gata 92,Lägenhet,Eriksberg,Göteborgs kommun,58.0,2.0,3120.0,3200000,2022-08-31,7.0,55172.0,0.0,0.0,57.6992222,11.9027563
Humlekärret 73,Lägenhet,Skintebo,Göteborgs kommun,75.0,3.0,5425.0,3200000,2022-08-31,-3.0,42667.0,0.0,0.0,57.58777284999999,11.938527294339266
Hortensiagången 8,Fritidshus,Askim,Göteborgs kommun,42.0,2.0,,1070000,2022-08-31,20.0,25476.0,300.0,0.0,57.6305201,11.9150227
Ejdergatan 2B,Lägenhet,Bagaregården,Göteborgs kommun,53.0,2.0,3625.0,2530000,2022-08-31,8.0,47736.0,0.0,0.0,57.7207061,12.003972
Saxofongatan 4,Lägenhet,Ruddalen,Göteborgs kommun,27.0,1.0,1919.0,1350000,2022-08-31,-7.0,50000.0,0.0,0.0,57.6601634,11.9200965
Lövskogsåsen 19,Villa,Billdal,Göteborgs kommun,175.0,6.0,,9300000,2022-08-31,13.0,53143.0,163.0,0.0,57.57237115,11.948652725122836
Norra Fiskebäcksvägen 176,Radhus,Fiskebäck,Göteborgs kommun,130.0,5.0,,5900000,2022-08-31,-4.0,45385.0,418.4,8.0,57.654953,11.8690235
Smögengatan 21,Lägenhet,Björkekärr,Göteborgs kommun,80.0,3.0,4519.0,4600000,2022-08-31,-2.0,57500.0,0.0,0.0,57.7185359,12.0450108
Guldvingevägen 12,Villa,Torslanda,Göteborgs kommun,123.0,4.0,,6075000,2022-08-31,2.0,49390.0,585.4,0.0,57.7368401,11.7859837
Kristinehöjdsgatan 5,Lägenhet,Johanneberg,Göteborgs kommun,71.0,3.0,3964.0,4260000,2022-08-31,11.0,60000.0,0.0,0.0,57.691157,11.9891686
Ebbe Lieberathsgatan 16C,Lägenhet,Johanneberg,Göteborgs kommun,31.5,1.0,2363.0,2100000,2022-08-31,-4.0,66667.0,0.0,0.0,57.6820641,11.9991447
